Card Name,Card Description,List Name,Labels,Due Date,Members
Background Worker System,Implement non-blocking background worker with job queue and lock file management for processing commits without blocking git operations. See CLI_ARCHITECTURE_NOTES.md lines 47-161.,Week 1: Core Infrastructure,MVP,2025-11-09,
Job Queue Implementation,"Create JSONL-based job queue system with atomic append operations. Supports multiple job types (track-commit, sync, analyze). See CLI_ARCHITECTURE_NOTES.md lines 992-1011.",Week 1: Core Infrastructure,MVP,2025-11-09,
Lock File Management,"Implement lock file system to prevent concurrent workers. Include stale lock detection via PID checking. See CLI_ARCHITECTURE_NOTES.md lines 123-141.",Week 1: Core Infrastructure,MVP,2025-11-09,
Comprehensive Error Handling,Add try-catch wrapping for all hook code with error logging to ~/.commitkit/errors.log. Never block commits on errors. See CLI_ARCHITECTURE_NOTES.md lines 642-677.,Week 1: Core Infrastructure,MVP,2025-11-09,
Error Logging System,Implement error log with rotation (keep last 100 errors OR 7 days). Create `commitkit logs` command. See CLI_ARCHITECTURE_NOTES.md lines 1013-1023.,Week 1: Core Infrastructure,MVP,2025-11-09,
Git Command Optimization,"Reduce 5 separate git process spawns to 1 using format string with ASCII separators (\x1F). See CLI_ARCHITECTURE_NOTES.md lines 614-640.",Week 1: Core Infrastructure,High Priority,2025-11-09,
Skip/Track Decision Logic,"Implement 3-layer filtering system: environment variables → git notes → .commitkit-ignore file. See CLI_ARCHITECTURE_NOTES.md lines 445-482.",Week 2: Filtering & LLM,MVP,2025-11-16,
.commitkit-ignore Parser,"Parse YAML ignore file with support for: message_patterns, file_patterns, authors, branches, time_rules, size_rules, custom rules, diff_patterns, directory_patterns. See CLI_ARCHITECTURE_NOTES.md lines 354-411.",Week 2: Filtering & LLM,MVP,2025-11-16,
Environment Variable Support,"Support COMMITKIT_SKIP=1 and COMMITKIT_TRACK=1 environment variables for per-commit control. Highest priority in decision logic. See CLI_ARCHITECTURE_NOTES.md lines 335-341.",Week 2: Filtering & LLM,MVP,2025-11-16,
Git Notes Support,"Read git notes for ""commitkit:skip"" and ""commitkit:track"" markers. Second priority in decision logic after env vars. See CLI_ARCHITECTURE_NOTES.md lines 343-350.",Week 2: Filtering & LM,MVP,2025-11-16,
Mode Selection (Opt-in/Opt-out),"During `commitkit init`, ask user to choose tracking mode: opt-out (track all) vs opt-in (track only marked). Store in .commitkit/config. See CLI_ARCHITECTURE_NOTES.md lines 416-443.",Week 2: Filtering & LLM,MVP,2025-11-16,
LLM Detection - Ollama,"Detect Ollama by checking http://localhost:11434/api/tags endpoint. See CLI_ARCHITECTURE_NOTES.md lines 300-324.",Week 2: Filtering & LLM,MVP,2025-11-16,
LLM Detection - LM Studio,Detect LM Studio at localhost:1234 endpoint. Fallback after Ollama. See CLI_ARCHITECTURE_NOTES.md lines 300-324.,Week 2: Filtering & LLM,MVP,2025-11-16,
Basic LLM Analysis,Send commit data to detected LLM for summary and tags generation. Graceful degradation if no LLM available. See CLI_ARCHITECTURE_NOTES.md lines 299-327.,Week 2: Filtering & LLM,MVP,2025-11-16,
Hybrid LLM Timing Strategy,"Try LLM analysis during background worker, fall back to tracking without analysis if LLM unavailable/slow. See CLI_ARCHITECTURE_NOTES.md lines 1035-1044.",Week 2: Filtering & LLM,Should Have,2025-11-16,
Unit Test Expansion,"Add tests for: background worker, queue management, LLM detection, skip/track decision logic, edge case message parsing. See CLI_ARCHITECTURE_NOTES.md lines 766-788.",Week 3: Testing,MVP,2025-11-23,
Integration Test Suite,"Create real git repo tests that verify: full commit flow, hook chaining, queue processing, API calls, background worker. See CLI_ARCHITECTURE_NOTES.md lines 783-837.",Week 3: Testing,MVP,2025-11-23,
Cross-Platform CI Setup,"Setup GitHub Actions matrix testing on Ubuntu, macOS, Windows with Node 18.x and 20.x. See CLI_ARCHITECTURE_NOTES.md lines 839-865.",Week 3: Testing,MVP,2025-11-23,
Edge Case Testing,"Test: multiline messages, emoji in messages, special characters, very long messages, non-ASCII characters, empty messages, binary files, large commits. See CLI_ARCHITECTURE_NOTES.md lines 679-707.",Week 3: Testing,MVP,2025-11-23,
Manual QA Pass,Manual testing on all three platforms with real repositories and various commit scenarios.,Week 3: Testing,MVP,2025-11-23,
CLI Help Text,Write comprehensive help text for all commands with examples. User-friendly error messages.,Week 4: Polish & Release,Should Have,2025-11-30,
Documentation,"Write README with: installation, setup guide, usage examples, troubleshooting, configuration options.",Week 4: Polish & Release,Should Have,2025-11-30,
Error Message Improvements,Review and improve all error messages for clarity and actionability.,Week 4: Polish & Release,Should Have,2025-11-30,
Beta Testing,Recruit 5-10 beta testers to use CLI in real workflows. Collect feedback.,Week 4: Polish & Release,MVP,2025-11-30,
NPM Publish,"Publish commitkit package to npm. Setup npm account, test installation, verify global command works.",Week 4: Polish & Release,MVP,2025-11-30,
commitkit config Command (Enhancement),"Add validation for API token format, add --url flag support, improve success/error messaging. See index.js lines 14-45.",Backlog,Enhancement,,
commitkit init Command (Enhancement),"Add mode selection prompt, add connection testing, improve hook installation messaging. See index.js lines 47-92.",Backlog,Enhancement,,
commitkit status Command (Enhancement),"Show queue status, worker status, last error, hook status. See index.js lines 94-149.",Backlog,Enhancement,,
commitkit sync Command (New),"Implement git history sync: compare git log to API, delete commits not in git. See CLI_ARCHITECTURE_NOTES.md lines 23-37.",Backlog,High Priority,,
commitkit logs Command (New),Display error log with pagination. Add --clear flag to truncate log. See CLI_ARCHITECTURE_NOTES.md line 600.,Backlog,High Priority,,
commitkit explain Command (New),Show why a specific commit was/wasn't tracked by evaluating all skip rules. See CLI_ARCHITECTURE_NOTES.md lines 486-500.,Backlog,Should Have,,
commitkit test-ignore Command (New),Interactive tool to test ignore rules against hypothetical commits. See CLI_ARCHITECTURE_NOTES.md lines 486-500.,Backlog,Should Have,,
commitkit init-ignore Command (New),Generate default .commitkit-ignore file with common patterns. See CLI_ARCHITECTURE_NOTES.md lines 486-500.,Backlog,Should Have,,
commitkit ignore add Command (New),Interactive tool to add patterns to .commitkit-ignore file. See CLI_ARCHITECTURE_NOTES.md lines 486-500.,Backlog,Should Have,,
commitkit worker Command (Internal),Expose worker command for debugging/manual invocation. See CLI_ARCHITECTURE_NOTES.md line 942.,Backlog,Low Priority,,
commitkit worker-status Command (New),Show if worker is currently running and queue status. See CLI_ARCHITECTURE_NOTES.md line 943.,Backlog,Should Have,,
commitkit doctor Command (Post-MVP),System diagnostics: check git installation, config validity, API connectivity, hook status. See CLI_ARCHITECTURE_NOTES.md line 948.,Post-MVP,Nice to Have,,
commitkit purge Command (Post-MVP),Remove specific commit from API permanently. Requires confirmation. See CLI_ARCHITECTURE_NOTES.md line 949.,Post-MVP,Nice to Have,,
MCP Server Implementation,"Build Model Context Protocol server for IDE integration. Supports Claude Code, Copilot, Cursor, Windsurf. See CLI_ARCHITECTURE_NOTES.md lines 177-287.",Post-MVP,High Priority,,
commitkit setup-mcp Command (Post-MVP),"Show IDE-specific MCP setup instructions. Add --auto flag for automatic config modification (with user permission). See CLI_ARCHITECTURE_NOTES.md lines 268-287.",Post-MVP,High Priority,,
Historical Commit Sync (Post-MVP),"Add `commitkit sync --all` to sync entire git history on first setup. See CLI_ARCHITECTURE_NOTES.md line 1052.",Post-MVP,Nice to Have,,
Advanced Sync Features (Post-MVP),"Add `commitkit sync --from-date`, `commitkit sync --branch`, selective syncing options.",Post-MVP,Nice to Have,,
Repo Summarization (Post-MVP),"Generate repository summary from commit patterns. Use for better LLM context. See CLI_ARCHITECTURE_NOTES.md lines 236-248.",Post-MVP,Nice to Have,,
Dead Letter Queue,"Implement dead letter queue for permanently failed jobs (after 3 retries with exponential backoff). See CLI_ARCHITECTURE_NOTES.md lines 143-159.",Backlog,High Priority,,
Retry Logic with Backoff,Implement exponential backoff for failed jobs: 2s → 4s → 8s then dead letter. See CLI_ARCHITECTURE_NOTES.md lines 143-159.,Backlog,High Priority,,
Queue Cleanup,Add queue cleanup logic to remove old completed jobs and rotate dead letter queue.,Backlog,Should Have,,
Config File Management,"Create utilities for reading/writing repo-level .commitkit/config (mode, ignoreFile, created). See CLI_ARCHITECTURE_NOTES.md lines 434-441.",Backlog,High Priority,,
API Client Improvements,"Add timeout handling, retry logic for network failures, better error messages for API errors. See lib/api.js.",Backlog,Should Have,,
Offline Mode Support,"Queue commits when offline, automatically sync when connection restored. Worker should detect network availability.",Backlog,High Priority,,
Git Hook Verification Tests,"Add test to verify hook script structure: bash shebang, original hook section, CommitKit tracking section, correct ordering. See __tests__/git-hook.test.js lines 88-123.",Week 3: Testing,MVP,2025-11-23,
Analyze Command (Hybrid LLM),"Add `commitkit analyze --all` to retroactively analyze commits that were tracked without LLM analysis. See CLI_ARCHITECTURE_NOTES.md line 1043.",Post-MVP,Nice to Have,,
Installation Script,"Create install.sh script that: checks Node version, installs package globally, verifies installation, prints next steps.",Week 4: Polish & Release,Should Have,2025-11-30,
Uninstall Script,Create uninstall.sh that removes hooks from all repos and optionally removes config.,Week 4: Polish & Release,Nice to Have,2025-11-30,
Windows-Specific Testing,"Test on Windows with Git Bash, PowerShell, WSL. Verify bash script execution. See CLI_ARCHITECTURE_NOTES.md lines 839-865.",Week 3: Testing,MVP,2025-11-23,
Multi-Line Commit Message Test,"Verify format string parsing correctly handles commit messages with newlines using \x1F separator. See CLI_ARCHITECTURE_NOTES.md lines 626-635 and lines 692-697.",Week 3: Testing,MVP,2025-11-23,
Hook Exit Code Handling,"Verify that if original user hook exits non-zero, CommitKit skips tracking and propagates exit code. See lib/git-hook.js lines 32-42.",Week 3: Testing,MVP,2025-11-23,
API Endpoint Enhancement,"Add GET /api/v1/status endpoint that returns commits count, last commit, account status. For `commitkit status` command.",Backlog,Enhancement,,
Rate Limiting (API),"Add rate limiting to API endpoints: 100 commits/hour per user, 1000 requests/hour per token.",Backlog,Security,,
Pagination (API),"Add pagination to GET /api/v1/commits endpoint: ?page=1&per_page=50. See CLI_ARCHITECTURE_NOTES.md line 247.",Backlog,Enhancement,,
Security Audit,Review for security issues: command injection, path traversal, token leakage in logs, etc.,Week 3: Testing,Security,2025-11-23,
Performance Testing,"Test with large repos (10,000+ commits), large queues (100+ pending jobs), rapid commit sequences.",Week 3: Testing,MVP,2025-11-23,
Memory Leak Testing,Run worker for extended period with continuous commits to detect memory leaks.,Week 3: Testing,Should Have,2025-11-23,
Debug Mode,"Add COMMITKIT_DEBUG=1 environment variable that enables verbose logging to stdout/stderr.",Backlog,Nice to Have,,
Telemetry (Optional),"Add opt-in anonymous telemetry: CLI version, OS, Node version, error rates. For improving product.",Post-MVP,Nice to Have,,
Config Migration System,"Create system for migrating config files when format changes between versions.",Post-MVP,Nice to Have,,
Webhook Support (API),"Add webhook system: user registers webhook URL, API calls it on commit received.",Post-MVP,Enhancement,,
Commit Search (API),"Add GET /api/v1/commits/search?q=keyword endpoint for searching commit messages and summaries.",Post-MVP,Enhancement,,
Tags API,"If we add tags to commits, create CRUD API: GET/POST/DELETE /api/v1/tags, GET /api/v1/commits?tag=feature.",Post-MVP,Enhancement,,
Dashboard Improvements (Web),"Enhance dashboard UI: filtering by date, search, tags, export to CSV, commit timeline visualization.",Post-MVP,Enhancement,,
Browser Extension,"Build Chrome/Firefox extension to show CommitKit data on GitHub/GitLab commit pages.",Post-MVP,Nice to Have,,
VS Code Extension,"Build VS Code extension with sidebar showing recent commits, inline commit tracking status.",Post-MVP,Nice to Have,,
Mobile App,"Build iOS/Android app for viewing commit history and generating resume bullets on mobile.",Post-MVP,Nice to Have,,
AI Resume Generator,"Use LLM to generate professional resume bullet points from clusters of related commits. MVP for post-CLI.",Post-MVP,High Priority,,
LinkedIn Integration,"One-click export of resume bullets to LinkedIn experience section (via API if available).",Post-MVP,Enhancement,,
